,tree,expresion,y_predict,mse,isValida
62,"
   ___________+_
  /             \
log_            log______
    \                    \
    cos__              ___*__
         \            /      \
          /         sin       *
         / \           \     / \
        X   1           X   X   X
",(log(cos((X/1)))+log((sin(X)*(X*X)))),"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -8.8352, -5.5542, -4.0516, -3.0878, -2.396, -1.874, -1.4727, -1.166, -0.9397, -0.7882]",5.4113,True
63,"
tan_______________
                  \
            _______-_
           /         \
        __*__        cos__
       /     \            \
      /       **           +
     / \     /  \         / \
    1   1   1    X       1   X
",tan((((1/1)*(1**X))-cos((1+X)))),"[0.0, 0.0055, 0.0221, 0.0495, 0.0876, 0.1362, 0.1953, 0.2654, 0.3471, 0.442, 0.5524, 0.6823, 0.8375, 1.0276, 1.2681, 1.5857, 2.0305, 2.707, 3.876, 6.4146]",5.8511,True
64,"
   _______________**_
  /                  \
tan______            sin_
         \               \
        __-_             cos_
       /    \                \
      -     cos              cos
     / \       \                \
    X   1       1                X
",(tan(((X-1)-cos(1)))**sin(cos(cos(X)))),"[0.752, 0.8916, 1.0372, 1.1908, 1.3577, 1.5506, 1.7979, 2.1722, 2.9311, 7.1264, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",6.1912,True
65,"
            __________*__________
           /                     \
   _______+_               _______/______
  /         \             /              \
tan_        tan_        tan_           ___-_
    \           \           \         /     \
    log         log         cos     sin     sin
       \           \           \       \       \
        X           1           X       X       1
",((tan(log(X))+tan(log(1)))*(tan(cos(X))/(sin(X)-sin(1)))),"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.3932, -7.8497, 10.3485, 4.3508, 2.9678, 2.2923, 1.865, 1.5564, 1.3138, 0]",12.3166,True
66,"
   _________________+______________
  /                                \
sin_______                    ______+_
          \                  /        \
        ___**__          ___*_        tan_
       /       \        /     \           \
      **        /     tan     cos         cos
     /  \      / \       \       \           \
    1    X    1   X       1       X           1
",(sin(((1**X)**(1/X)))+((tan(1)*cos(X))+tan(cos(1)))),"[2.2828, 2.4158, 2.5381, 2.6482, 2.7449, 2.8272, 2.8942, 2.9451, 2.9793, 2.9966, 2.9966, 2.9793, 2.9451, 2.8942, 2.8272, 2.7449, 2.6482, 2.5381, 2.4158, 2.2828]",12.3497,True
67,"
tan______________
                 \
            ______**_
           /         \
       ___/_         log_
      /     \            \
    cos     sin          tan
       \       \            \
        X       X            1
",tan(((cos(X)/sin(X))**log(tan(1)))),"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.6029, -1.221, -4.5335, 21.5845, 4.3439, 2.6285, 1.9382, 1.5451, 1.2783, 1.0756]",29.0515,True
68,"
             ______________/_
            /                \
   ________/______           sin______
  /               \                   \
cos__            __+_               ___**__
     \          /    \             /       \
      **       +     tan         tan        **
     /  \     / \       \           \      /  \
    1    1   X   X       1           1    1    X
",((cos((1**1))/((X+X)+tan(1)))/sin((tan(1)**(1**X)))),"[np.float64(-1.2209), np.float64(-2.3284), np.float64(-25.0863), np.float64(2.8592), np.float64(1.3525), np.float64(0.8858), np.float64(0.6585), np.float64(0.5241), np.float64(0.4352), np.float64(0.3721), np.float64(0.325), np.float64(0.2885), np.float64(0.2593), np.float64(0.2355), np.float64(0.2157), np.float64(0.199), np.float64(0.1847), np.float64(0.1723), np.float64(0.1614), np.float64(0.1519)]",32.0854,True
69,"
tan_
    \
    tan_
        \
        tan_
            \
            sin
               \
                X
",tan(tan(tan(sin(X)))),"[1.8767, -20.2765, -2.2982, -1.2576, -0.8384, -0.5917, -0.4174, -0.2796, -0.1613, -0.0528, 0.0528, 0.1613, 0.2796, 0.4174, 0.5917, 0.8384, 1.2576, 2.2982, 20.2765, -1.8767]",42.8975,True
70,"
             ______________/_
            /                \
   ________+______           tan_
  /               \              \
sin__           ___+__           tan__
     \         /      \               \
      **     log       -               /
     /  \       \     / \             / \
    X    1       1   1   X           X   1
",((sin((X**1))+(log(1)+(1-X)))/tan(tan((X/1)))),"[np.float64(-0.0155), np.float64(-0.3746), np.float64(-0.6807), np.float64(-0.9903), np.float64(-1.347), np.float64(-1.808), np.float64(-2.4807), np.float64(-3.6326), np.float64(-6.2315), np.float64(-18.9654), np.float64(18.9644), np.float64(6.2234), np.float64(3.6107), np.float64(2.44), np.float64(1.7457), np.float64(1.264), np.float64(0.8922), np.float64(0.5805), np.float64(0.2975), np.float64(0.0113)]",42.9663,True
71,"
tan___________
              \
       ________**_______
      /                 \
    sin__             ___*__
         \           /      \
          **        **       /
         /  \      /  \     / \
        1    1    1    1   1   X
",tan((sin((1**1))**((1**1)*(1/X)))),"[2.4863, 2.6727, 2.9539, 3.4278, 4.4005, 7.5801, -37.3141, -2.6887, -0.1592, 7.0041, 0.0377, 0.3483, 0.5712, 0.7229, 0.8331, 0.9171, 0.9834, 1.0371, 1.0816, 1.1189]",78.2355,True
